transaction_items
"mishti chholar dal,shukto"
"kabiraji,mishti chholar dal,sandesh"
"daal puri,kabiraji,rasgulla"
"daal puri,kabiraji,shukto"
"kabiraji,mishti chholar dal,shukto"
"chingri malai curry,daal puri"
"cham cham,cheera doi,daal puri"
"adhirasam,kabiraji,mishti chholar dal"
"chicken razala,chingri bhape,daal puri"
"gulab jamun,mishti chholar dal"
"daal puri,kabiraji"
"daal puri,kalakand,rasgulla"
"daal puri,kabiraji,shukto"
"balu shahi,daal puri,shukto"
"daal puri,kabiraji"
"daal puri,shukto"
"goja,mishti chholar dal,pantua"
"daal puri,kabiraji,kalakand"
"chicken razala,mishti chholar dal,shukto"
"balu shahi,mishti chholar dal,prawn malai curry"
"chingri malai curry,daal puri,gulab jamun"
"imarti,mishti chholar dal,sandesh"
"balu shahi,chingri bhape,daal puri"
"kabiraji,mishti chholar dal"
"chingri malai curry,imarti,mishti chholar dal"
"daal puri,gulab jamun,shukto"
"adhirasam,daal puri,mihidana"
"daal puri,kabiraji,kalakand"
"cham cham,daal puri,mihidana"
"mishti chholar dal,rasgulla"
"daal puri,goja"
"mishti chholar dal,shukto"
"kabiraji,mishti chholar dal,shukto"
"daal puri,kabiraji,ledikeni"
"mishti chholar dal,misti doi,shukto"
"daal puri,gulab jamun,kabiraji"
"ledikeni,mihidana,mishti chholar dal"
"daal puri,goja,kabiraji"
"gulab jamun,mishti chholar dal"
"adhirasam,mishti chholar dal,pantua"
"cham cham,mishti chholar dal,shukto"
"goja,gulab jamun,mishti chholar dal"
"daal puri,goja,kabiraji"
"daal puri,kabiraji,mihidana"
"goja,mishti chholar dal,shukto"
"chingri bhape,mishti chholar dal,shukto"
"balu shahi,kabiraji,mishti chholar dal"
"adhirasam,daal puri,sandesh"
"daal puri,gulab jamun,kabiraji"
"daal puri,misti doi,ras malai"
"goja,mishti chholar dal,shukto"
"daal puri,pantua,rasgulla"
"gulab jamun,kalakand,mishti chholar dal"
"goja,mishti chholar dal,rasgulla"
"daal puri,gulab jamun,shukto"
"luchi,mihidana,mishti chholar dal"
"balu shahi,mishti chholar dal,shukto"
"daal puri,kabiraji"
"chicken razala,mishti chholar dal,shukto"
"kabiraji,mishti chholar dal,shukto"
"daal puri,kabiraji,shukto"
"mishti chholar dal,sandesh,shukto"
"daal puri,ledikeni,shukto"
"goja,mishti chholar dal,rasgulla"
"daal puri,gulab jamun,shukto"
"daal puri,kabiraji,ras malai"
"daal puri,gulab jamun"
"daal puri,gulab jamun,sandesh"
"daal puri,goja,gulab jamun"
"kabiraji,mishti chholar dal,shukto"
"chingri malai curry,daal puri,goja"
"chingri bhape,kabiraji,mishti chholar dal"
"chicken razala,daal puri,goja"
"kabiraji,luchi,mishti chholar dal"
"daal puri,kalakand,luchi"
"kabiraji,mishti chholar dal"
"daal puri,kalakand,shukto"
"chingri malai curry,daal puri,sandesh"
"daal puri,goja,kabiraji"
"goja,mishti chholar dal"
"chicken razala,kabiraji,mishti chholar dal"
"chingri bhape,daal puri,gulab jamun"
"imarti,kabiraji,mishti chholar dal"
"cheera doi,kabiraji,mishti chholar dal"
"kabiraji,mishti chholar dal,shukto"
"gulab jamun,mishti chholar dal"
"goja,mishti chholar dal,shukto"
"mishti chholar dal,shukto"
"chicken razala,mishti chholar dal,shukto"
"gulab jamun,kabiraji,mishti chholar dal"
"daal puri,shukto"
"goja,gulab jamun,mishti chholar dal"
"daal puri,shukto"
"adhirasam,goja,mishti chholar dal"
"daal puri,gulab jamun,shukto"
"cham cham,mishti chholar dal,sandesh"
"daal puri,misti doi,shukto"
"adhirasam,chingri malai curry,daal puri"
"chingri malai curry,daal puri,mihidana"
"adhirasam,mishti chholar dal,shukto"
"daal puri,gulab jamun,kabiraji"
"daal puri,goja,gulab jamun"
"daal puri,shukto"
"goja,kabiraji,mishti chholar dal"
"chicken razala,daal puri,gulab jamun"
"daal puri,gulab jamun,kabiraji"
"chingri bhape,chingri malai curry,mishti chholar dal"
"daal puri,imarti,kabiraji"
"mishti chholar dal,rasgulla,shukto"
"daal puri,kabiraji,prawn malai curry"
"gulab jamun,mishti chholar dal"
"daal puri,gulab jamun"
"gulab jamun,luchi,mishti chholar dal"
"daal puri,gulab jamun"
"daal puri,kabiraji"
"gulab jamun,mishti chholar dal,shukto"
"goja,kabiraji,mishti chholar dal"
"balu shahi,kabiraji,mishti chholar dal"
"daal puri,goja,shukto"
"chingri bhape,goja,mishti chholar dal"
"chicken razala,daal puri,prawn malai curry"
"goja,mishti chholar dal,shukto"
"daal puri,gulab jamun,kabiraji"
"goja,gulab jamun,mishti chholar dal"
"gulab jamun,mishti chholar dal,shukto"
"daal puri,goja,shukto"
"mishti chholar dal,shukto"
"daal puri,goja,gulab jamun"
"kabiraji,ledikeni,mishti chholar dal"
"daal puri,shukto"
"goja,ledikeni,mishti chholar dal"
"adhirasam,goja,mishti chholar dal"
"daal puri,gulab jamun,kabiraji"
"daal puri,kabiraji,prawn malai curry"
"goja,mishti chholar dal,prawn malai curry"
"chicken razala,daal puri,gulab jamun"
"imarti,kabiraji,mishti chholar dal"
"mishti chholar dal,misti doi,ras malai"
"gulab jamun,mishti chholar dal,shukto"
"gulab jamun,imarti,mishti chholar dal"
"chicken razala,goja,mishti chholar dal"
"kabiraji,mishti chholar dal,shukto"
"goja,kalakand,mishti chholar dal"
"gulab jamun,kabiraji,mishti chholar dal"
"daal puri,goja,ledikeni"
"gulab jamun,kabiraji,mishti chholar dal"
"daal puri,ledikeni,ras malai"
"daal puri,gulab jamun,kabiraji"
"chingri malai curry,daal puri,gulab jamun"
"daal puri,luchi,shukto"
"daal puri,kabiraji,shukto"
"gulab jamun,kabiraji,mishti chholar dal"
"daal puri,gulab jamun"
"goja,mishti chholar dal,rasgulla"
"goja,kabiraji,mishti chholar dal"
"kabiraji,mishti chholar dal,shukto"
"goja,kabiraji,mishti chholar dal"
"cheera doi,kabiraji,mishti chholar dal"
"chingri bhape,kabiraji,mishti chholar dal"
"gulab jamun,mishti chholar dal,shukto"
"kabiraji,mishti chholar dal,shukto"
"goja,kabiraji,mishti chholar dal"
"goja,mishti chholar dal,rasgulla"
"daal puri,kabiraji,sandesh"
"goja,kabiraji,mishti chholar dal"
"goja,gulab jamun,mishti chholar dal"
"cham cham,chingri bhape,mishti chholar dal"
"daal puri,goja,sandesh"
"goja,kabiraji,mishti chholar dal"
"kalakand,mishti chholar dal,shukto"
"chingri malai curry,daal puri,shukto"
"daal puri,kabiraji"
"chingri bhape,daal puri,ledikeni"
"goja,mishti chholar dal,shukto"
"gulab jamun,kabiraji,mishti chholar dal"
"goja,mishti chholar dal,prawn malai curry"
"daal puri,kabiraji"
"goja,kabiraji,mishti chholar dal"
"gulab jamun,mishti chholar dal,misti doi"
"daal puri,gulab jamun,rasgulla"
"gulab jamun,imarti,mishti chholar dal"
"daal puri,kabiraji,shukto"
"daal puri,gulab jamun,kabiraji"
"chicken razala,luchi,mishti chholar dal"
"daal puri,kabiraji,shukto"
"daal puri,kabiraji,shukto"
"goja,mishti chholar dal,ras malai"
"daal puri,goja,kalakand"
"gulab jamun,kabiraji,mishti chholar dal"
"mishti chholar dal,shukto"
"gulab jamun,imarti,mishti chholar dal"
"goja,kabiraji,mishti chholar dal"
"goja,gulab jamun,mishti chholar dal"
"adhirasam,daal puri,luchi"
"daal puri,gulab jamun"
"daal puri,goja,rasgulla"
"balu shahi,daal puri,pantua"
"mishti chholar dal,shukto"
"kabiraji,mishti chholar dal,shukto"
"balu shahi,daal puri,rasgulla"
"goja,gulab jamun,mishti chholar dal"
"balu shahi,mishti chholar dal,shukto"
"goja,mishti chholar dal"
"luchi,mishti chholar dal,prawn malai curry"
"daal puri,gulab jamun,kabiraji"
"daal puri,kabiraji,ledikeni"
"adhirasam,daal puri,kabiraji"
"chingri malai curry,mishti chholar dal,shukto"
"chingri malai curry,daal puri,pantua"
"daal puri,gulab jamun,shukto"
"daal puri,imarti,kabiraji"
"chingri malai curry,goja,mishti chholar dal"
"daal puri,gulab jamun,kabiraji"
"goja,ledikeni,mishti chholar dal"
"chicken razala,goja,mishti chholar dal"
"cheera doi,chingri malai curry,daal puri"
"chingri malai curry,mishti chholar dal,shukto"
"gulab jamun,mishti chholar dal,rasgulla"
"daal puri,goja,kabiraji"
"daal puri,gulab jamun,shukto"
"daal puri,kabiraji,mihidana"
"daal puri,luchi,shukto"
"gulab jamun,imarti,mishti chholar dal"
"chicken razala,goja,mishti chholar dal"
"adhirasam,chingri malai curry,mishti chholar dal"
"imarti,mishti chholar dal,misti doi"
"daal puri,kabiraji,shukto"
"luchi,mishti chholar dal,shukto"
"daal puri,gulab jamun,misti doi"
"adhirasam,mishti chholar dal,sandesh"
"chingri bhape,gulab jamun,mishti chholar dal"
"goja,luchi,mishti chholar dal"
"daal puri,goja"
"cham cham,daal puri,shukto"
"daal puri,kabiraji,shukto"
"goja,gulab jamun,mishti chholar dal"
"balu shahi,mishti chholar dal,shukto"
"daal puri,gulab jamun,shukto"
"imarti,kabiraji,mishti chholar dal"
"daal puri,kabiraji,shukto"
"kabiraji,mishti chholar dal,misti doi"
"imarti,mishti chholar dal,shukto"
"luchi,mishti chholar dal,shukto"
"goja,mishti chholar dal,misti doi"
"daal puri,shukto"
"daal puri,gulab jamun,rasgulla"
"daal puri,goja,shukto"
"goja,mishti chholar dal,shukto"
"daal puri,goja,ledikeni"
"goja,mishti chholar dal,rasgulla"
"adhirasam,mishti chholar dal,shukto"
"goja,luchi,mishti chholar dal"
"daal puri,goja,shukto"
"kabiraji,mishti chholar dal,prawn malai curry"
"daal puri,goja,kabiraji"
"daal puri,goja,shukto"
"mishti chholar dal,sandesh,shukto"
"kabiraji,luchi,mishti chholar dal"
